blue_mean,crop,field_id,green_mean,lat,lon,ndvi_max,ndvi_mean,ndvi_min,ndvi_std,ndwi_mean,nir_mean,red_mean,state,swir1_mean,vh_mean,vh_std,vh_vv_ratio,vv_mean,vv_std,ndvi_range,ndvi_slope
0.09076009506334412,Mustard,UP_M_010,0.12220127527449356,27.55,78.15,0.7247354393053888,0.36224467927397025,0.11396768316146201,0.18211849387717893,-0.383264235889924,0.280366100229874,0.12981662099538627,UP,0.25209973960450927,-18.133089417610393,3.633587261865419,0.166150821988277,-10.151243337361919,2.8882374508787754,0.6107677561439268,0.018211849387717895
0.08877844354070646,Rice,UP_R_001,0.11576631243268165,26.12,83.2,0.7634707381974922,0.4285238758189297,0.164239715315333,0.18988369499859947,-0.4352033540313145,0.29198347086869286,0.12048143955539614,UP,0.2619590945575115,-18.035268544688552,3.3007851531014265,0.1982409230069049,-10.906663169058449,2.581803448001965,0.5992310228821592,0.01898836949985995
0.08465801697831174,Rice,UP_R_002,0.11005300351182759,26.2,83.3,0.799872548896856,0.4699447723364968,0.17253837932054628,0.21692739529986838,-0.4670750901391134,0.3015450671466233,0.11265413062495809,UP,0.24348034296057644,-17.844984485290652,3.3187921855233715,0.2124497472612995,-11.051662152361423,2.578560784225947,0.6273341695763097,0.021692739529986838
0.07543537835250416,Rice,UP_R_003,0.10234161769528245,26.75,82.1,0.7496885139227183,0.45356997890033257,0.13171251915219048,0.18733167501856346,-0.45627368064135787,0.2698127914338404,0.10478087094482005,UP,0.2322988966248427,-18.032307337728334,2.9063461411766496,0.21490928197657252,-11.287264445456598,2.316341724008527,0.6179759947705278,0.018733167501856347
0.08515672780165934,Rice,UP_R_004,0.1106498575176578,26.0,83.0,0.8077811644026889,0.46002355134568623,0.12579233942297308,0.22566554625445537,-0.4510370211061818,0.2909451888955609,0.11137100056650587,UP,0.23502004339623173,-17.86366140481703,3.3975608167194817,0.19538276581648673,-10.700679572412334,2.7553058554259953,0.6819888249797158,0.022566554625445538
0.0756761535209804,Rice,UP_R_005,0.09829943270932602,25.9,84.6,0.7468103165170236,0.46170369734128686,0.2007259297272777,0.1712366243827502,-0.4535383952840914,0.2620262582541318,0.09790734704263633,UP,0.20580073983275698,-16.937906083019147,2.8747741782758522,0.21382887220860836,-10.149509978550594,2.497646094684132,0.5460843867897458,0.017123662438275022
0.11465085010425885,Rice,UP_R_006,0.14648521669109177,26.3,83.4,0.33112043844500777,0.1021876103675434,-0.25469991779953527,0.15841384083715288,-0.08940639433108431,0.21116448748712754,0.14721040252328813,UP,0.19345439705549441,-25.58982509566742,5.23387525111205,0.14692539239455135,-16.494943001309213,3.4133171874262787,0.585820356244543,0.015841384083715288
0.09247492703752246,Rice,UP_R_007,0.11856541870930798,26.05,83.1,0.7707710605146428,0.44989669920341496,0.15003549618161646,0.1979170475669038,-0.44359150964090316,0.30645164002852165,0.11969156557834491,UP,0.2645288022746741,-18.231265993264813,3.3847139900620626,0.1868498777409487,-10.834194641017843,2.7220200889458233,0.6207355643330263,0.01979170475669038
0.07710953751895022,Rice,UP_R_008,0.10093359356173025,26.85,82.2,0.7363909946713973,0.4547244950801952,0.1641731705742285,0.17967725392500025,-0.44620970604576166,0.2637822570161899,0.09992412987711273,UP,0.2150057659393028,-17.63791528642305,2.824494907289307,0.21803410110007387,-10.934847757482883,2.3551845681474775,0.5722178240971688,0.017967725392500026
0.1003342203722283,Rice,UP_R_009,0.12361711451923064,26.15,83.25,0.7756445653394552,0.4202647954663312,0.08515342743210245,0.22181915318650958,-0.4121502563706536,0.28983654798064273,0.12406237539372487,UP,0.2398809995347548,-18.688014966393286,3.6765898095072367,0.19143793759080768,-11.376844714173176,2.6860968424692233,0.6904911379073528,0.02218191531865096
0.07377475387896677,Rice,UP_R_010,0.09825873598061807,25.95,84.5,0.7736444761621795,0.49162927195354583,0.19737067976882694,0.17474856048702317,-0.48418713407828884,0.28531942827378415,0.09838712935917021,UP,0.23201332864553603,-17.79818742296195,2.892373932220603,0.2067896254445293,-10.871386036681415,2.4343560247395,0.5762737963933525,0.017474856048702317
0.08772948652933335,Sugarcane,UP_S_001,0.10706509475952461,26.45,80.33,0.4462869096376575,0.285054917380678,0.09815766953620099,0.07707642971848774,-0.31258350364351595,0.2043247896141489,0.11455832183402657,UP,0.19247597520343968,-12.87158625915797,2.4104041191908,0.24699147965422935,-6.5914474103294545,2.4597219021239063,0.3481292401014565,0.007707642971848775
0.09102470972307977,Sugarcane,UP_S_002,0.11959110884162545,26.52,80.4,0.676527136368104,0.4040231829690881,0.14651141539036128,0.1425729825301236,-0.4173387561877833,0.2906908027685771,0.12478705286821577,UP,0.2529348699712075,-17.47815211402144,2.790319831779885,0.2168359909747623,-10.765963544950242,2.3728324276710775,0.5300157209777427,0.014257298253012361
0.10331935390711391,Sugarcane,UP_S_003,0.11838392808201285,28.98,77.7,0.22546488563629016,0.12422219334384993,0.03704181920463433,0.047875968022022465,-0.17634089980977655,0.1680447081214567,0.13146322368355243,UP,0.19390111113880226,-12.991074849838096,2.3255739662047272,0.2742106758392909,-6.9102402982602635,2.4335676242154265,0.18842306643165585,0.004787596802202247
0.08358728722522259,Sugarcane,UP_S_004,0.10643261012893356,29.1,77.6,0.6044314700794353,0.38635717776064965,0.17130380675354728,0.13325256606586017,-0.38726140420305016,0.242687423079963,0.10825250152408207,UP,0.2100297091438584,-17.412840748827648,2.7078558192495303,0.23001592474923233,-10.888191931839907,2.3343570966734193,0.43312766332588803,0.013325256606586018
0.09338298954491261,Sugarcane,UP_S_005,0.13195152755177433,26.6,80.45,0.755995555734802,0.3720121917938743,0.1316931276301787,0.1995223098643119,-0.39978260298021573,0.3094289095666727,0.14363833989689279,UP,0.28252884442192916,-18.55266713913194,3.86798680335531,0.17784289936162598,-10.937655952824501,2.7398391913917535,0.6243024281046233,0.01995223098643119
0.06048598098668617,Sugarcane,UP_S_006,0.08738405482722035,28.85,77.8,0.8102693277612323,0.5080113089909374,0.15634782200848127,0.1946295147097811,-0.5021822271016527,0.2669794859152394,0.08733646353493238,UP,0.20296379219446625,-18.09822239822017,3.538188867766314,0.2045935664424906,-11.130124210765903,2.5563907459490047,0.653921505752751,0.01946295147097811
